ID,Place,Postcode,Address,ATM Type,Location Type,Line Capacity,Migration,KeyHolder / SVA,Total Location,Latitude,Longitude
S1C211,BENEDEN-LEEUWEN,6658 EM,NIJVERHEIDSSTRAAT 4,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BENEDEN-LEEUWEN, NIJVERHEIDSSTRAAT 4",51.8807516,5.5222032
S1H153,BENNEBROEK,2121 SL,NARCISSENLAAN 2,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BENNEBROEK, NARCISSENLAAN 2",52.3253681,4.5922758
S1M482,BERGSCHENHOEK,2661 CE,DORPSSTRAAT 67,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BERGSCHENHOEK, DORPSSTRAAT 67",51.989526,4.501807
S1M483,BERKEL-ENSCHOT,5056 GB,EIKENBOSCH 8,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BERKEL-ENSCHOT, EIKENBOSCH 8",51.584244,5.139697
S1D291,BERGEIJK,5571 CC,HOF 82,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BERGEIJK, HOF 82",51.3223568,5.3584662
S1Y406,BERGUM,9251 JS,MARKT 36A,4560,OP,3G (Mobile),MANUAL - 3G Mobile,Keyholder,"Netherlands, BERGUM, MARKT 36A",53.1906243,5.9923985
S1Y464,BERGEN,1861 JX,PLEIN 29,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN, PLEIN 29",52.670269,4.7024108
S1V411,BERGEN,1861 JX,PLEIN 29,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN, PLEIN 29",52.670269,4.7024108
S1E483,BERGEN,1861 JX,PLEIN 29,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN, PLEIN 29",52.670269,4.7024108
S1V460,BERGEN,1861 JX,PLEIN 29,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN, PLEIN 29",52.670269,4.7024108
S1G106,BERGEN,5854 AW,RAADHUISPLEIN 13,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BERGEN, RAADHUISPLEIN 13",51.6040219,6.0494531
S1Q297,BERGEN OP ZOOM,4611 BT,WASSENAARSTRAAT 57,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, WASSENAARSTRAAT 57",51.4931756,4.292181
S1V220,BERGEN OP ZOOM,4611 BT,WASSENAARSTRAAT 57,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, WASSENAARSTRAAT 57",51.4931756,4.292181
S1V473,BERGEN OP ZOOM,4611 BT,WASSENAARSTRAAT 57,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, WASSENAARSTRAAT 57",51.4931756,4.292181
S1Q296,BERGEN OP ZOOM,4611 BT,WASSENAARSTRAAT 57,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, WASSENAARSTRAAT 57",51.4931756,4.292181
S1C222,BERKEL EN RODENRIJS,2651 JN,WESTERWATER 27,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERKEL EN RODENRIJS, WESTERWATER 27",51.9950276,4.4757189
S1E408,BERKEL EN RODENRIJS,2651 JN,WESTERWATER 27,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BERKEL EN RODENRIJS, WESTERWATER 27",51.9950276,4.4757189
S1D217,BERGEN OP ZOOM,4624 BC,ZONNEPLEIN 15A,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, ZONNEPLEIN 15A",51.4855151,4.3088784
S1G189,BERGEN OP ZOOM,4614 CD,ZANDSTRAAT 163,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BERGEN OP ZOOM, ZANDSTRAAT 163",51.5054319,4.2949525
S1W412,BEST,5683 AV,BOTERHOEK 2,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BEST, BOTERHOEK 2",51.5120378,5.3939599
S1F497,BEUNINGEN,6641 BH,KERKPLEIN 72,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BEUNINGEN, KERKPLEIN 72",51.8625006,5.7710841
S1W449,BEVERWIJK,1941 EG,BREESTRAAT 81 - 83 - 85,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BEVERWIJK, BREESTRAAT 81 - 83 - 85",52.4817255,4.6579069
S1W498,BEVERWIJK,1941 EG,BREESTRAAT 81 - 83 - 85,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BEVERWIJK, BREESTRAAT 81 - 83 - 85",52.4817255,4.6579069
S1W497,BEVERWIJK,1941 EG,BREESTRAAT 81 - 83 - 85,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BEVERWIJK, BREESTRAAT 81 - 83 - 85",52.4817255,4.6579069
S1W447,BEVERWIJK,1941 EG,BREESTRAAT 81 - 83 - 85,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BEVERWIJK, BREESTRAAT 81 - 83 - 85",52.4817255,4.6579069
S1M251,BEVERWIJK,1948 PD,MONTAGEWEG 35,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BEVERWIJK, MONTAGEWEG 35",52.4771673,4.6715713
S1Q281,BEVERWIJK,1948 LB,STATIONSPLEIN 2,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BEVERWIJK, STATIONSPLEIN 2",52.4790205,4.6549884
S1C409,BILTHOVEN,3723 DE,BILDERDIJKLAAN 106,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BILTHOVEN, BILDERDIJKLAAN 106",52.1342428,5.21726
S1V438,DE BILT,3731 JN,HESSENWEG 180,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, DE BILT, HESSENWEG 180",52.1107841,5.1822192
S1J234,BILTHOVEN,3722 AJ,VINKENLAAN 2,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BILTHOVEN, VINKENLAAN 2",52.1290827,5.2069902
S1C416,BILTHOVEN,3722 AJ,VINKENLAAN 2,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BILTHOVEN, VINKENLAAN 2",52.1290827,5.2069902
S1M456,BLARICUM,1261 AW,HUIZERWEG 4,4560,OP,"1M, 1M",MANUAL - Multiple Lines,Keyholder,"Netherlands, BLARICUM, HUIZERWEG 4",52.2733111,5.243727
S1W267,BLADEL,5531 BA,MARKT 10,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BLADEL, MARKT 10",51.366755,5.2141251
S1M230,BLEISWIJK,2665 BJ,DORPSSTRAAT 14,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BLEISWIJK, DORPSSTRAAT 14",52.0089408,4.5291058
S1P473,BLOEMENDAAL,2061 CG,BLOEMENDAALSEWEG 119,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BLOEMENDAAL, BLOEMENDAALSEWEG 119",52.4025693,4.6191774
S1Q468,BLOEMENDAAL,2061 CG,BLOEMENDAALSEWEG 119,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BLOEMENDAAL, BLOEMENDAALSEWEG 119",52.4025693,4.6191774
S1Y405,BODEGRAVEN,2411 BD,RAADHUISPLEIN 13,4560,OP,3G (Mobile),MANUAL - 3G Mobile,Keyholder,"Netherlands, BODEGRAVEN, RAADHUISPLEIN 13",52.086587,4.7463829
S1V476,BOLSWARD,8701 JA,JONGEMASTRAAT 13 13,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BOLSWARD, JONGEMASTRAAT 13 13",53.0617891,5.5232611
S1I164,BORNE,7622 DD,NIEUWE MARKT 20,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BORNE, NIEUWE MARKT 20",52.3004533,6.7574002
S1I496,BORCULO,7271 AH,VEEMARKT 1B,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BORCULO, VEEMARKT 1B",52.1162929,6.5237329
S1V457,BOSKOOP,2771 EJ,ZIJDE 19,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BOSKOOP, ZIJDE 19",52.0747007,4.6561592
S1Q456,BOVENKARSPEL,1611 KZ,STATIONSLAAN 10 - 12,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BOVENKARSPEL, STATIONSLAAN 10 - 12",52.6973505,5.2350289
S1Y414,BOVENKARSPEL,1611 KZ,STATIONSLAAN 10 - 12,4560,BZK,100M,REMOTE - 100Mb+,Keyholder,"Netherlands, BOVENKARSPEL, STATIONSLAAN 10 - 12",52.6973505,5.2350289
S1W443,BOXTEL,5281 AV,MARKT 28,4560,OP,"2M, 100M",MANUAL - Multiple Lines,Keyholder,"Netherlands, BOXTEL, MARKT 28",51.5885678,5.3271171
S1P400,BOXMEER,5831 JH,STEENSTRAAT 70,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BOXMEER, STEENSTRAAT 70",51.647044,5.9514694
S1I433,BOXMEER,5831 JH,STEENSTRAAT 70,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BOXMEER, STEENSTRAAT 70",51.647044,5.9514694
S1H123,BREDA,4834 HJ,DUURSTEDESTRAAT 45,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, DUURSTEDESTRAAT 45",51.5705851,4.8045863
S1A495,BREDA,4817 LR,BRABANTPLEIN 36,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, BRABANTPLEIN 36",51.5906353,4.7979897
S1G437,BREDA,4811 DH,CHASSEVELD 1,2050,BZK,1G,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, CHASSEVELD 1",51.5881309,4.7845591
S1V494,BREDA,4811 DH,CHASSEVELD 1,4560,BZK,1G,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, CHASSEVELD 1",51.5881309,4.7845591
S1G436,BREDA,4811 DH,CHASSEVELD 1,4560,BZK,1G,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, CHASSEVELD 1",51.5881309,4.7845591
S1G435,BREDA,4811 DH,CHASSEVELD 1,4560,BZK,1G,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, CHASSEVELD 1",51.5881309,4.7845591
S1M402,BRESKENS,4511 EB,DORPSSTRAAT 25,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BRESKENS, DORPSSTRAAT 25",51.3955404,3.5563287
S1Q422,BREDA,4835 KJ,KONINGIN EMMALAAN 2A,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BREDA, KONINGIN EMMALAAN 2A",51.5689547,4.7840133
S1G428,BREDA,4836 LZ,HAZELDONK 5002,2000,OP,1M,MANUAL - ATM Type,SVA (frontloader),"Netherlands, BREDA, HAZELDONK 5002",51.4996127,4.7415181
S1A469,BREDA,4819 CK,GRAAF HENDRIK III PLEIN 51,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, GRAAF HENDRIK III PLEIN 51",51.5769644,4.7710722
S1J468,BREDA,4823 JP,HEKSENAKKER 74,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BREDA, HEKSENAKKER 74",51.6228464,4.7425401
S1J428,BREUKELEN,3621 AB,MARKT 2 - 2A,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BREUKELEN, MARKT 2 - 2A",52.170912,5.0038069
S1J477,BREUKELEN,3621 AB,MARKT 2 - 2A,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BREUKELEN, MARKT 2 - 2A",52.170912,5.0038069
S1W415,BREDA,4826 HN,MOERWIJK 14C,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, MOERWIJK 14C",51.6078967,4.7897101
S1W464,BREDA,4826 HN,MOERWIJK 14C,4560,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, MOERWIJK 14C",51.6078967,4.7897101
S1G432,BREDA,4811 HR,OUDE VEST 3,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, OUDE VEST 3",51.5866613,4.7782289
S1G433,BREDA,4811 HR,OUDE VEST 3,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, OUDE VEST 3",51.5866613,4.7782289
S1N412,BREDA,4811 BB,STATIONSPLEIN 3 - 4,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, STATIONSPLEIN 3 - 4",51.5945806,4.7801937
S1Q284,BREDA,4811 WN,NIEUWSTRAAT 49 (HOEK TOLBRUGSTRAAT),2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, NIEUWSTRAAT 49 ",51.5880078,4.7729038
S1D407,BREDA,4811 WN,NIEUWSTRAAT 49 (HOEK TOLBRUGSTRAAT),2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, NIEUWSTRAAT 49",51.5880078,4.7729038
S1Q285,BREDA,4811 WN,NIEUWSTRAAT 49 (HOEK TOLBRUGSTRAAT),2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, NIEUWSTRAAT 49 ",51.5880078,4.7729038
S1A431,BREDA,4835 RB,VALKENIERSPLEIN 23,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BREDA, VALKENIERSPLEIN 23",51.5707427,4.7925791
S1H126,BRIELLE,3231 BA,NOBELSTRAAT 43,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BRIELLE, NOBELSTRAAT 43",51.9010745,4.1639041
S1H130,BRIELLE,3231 BA,NOBELSTRAAT 43,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, BRIELLE, NOBELSTRAAT 43",51.9010745,4.1639041
S1J449,BRUNSSUM,6444 AA,RAADHUISSTRAAT 1,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BRUNSSUM, RAADHUISSTRAAT 1",50.9442667,5.9698479
S1H182,BUCHTEN-BORN,6122 CE,DORPSTRAAT 61,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BUCHTEN-BORN, DORPSTRAAT 61",51.042929,5.808378
S1F456,BUDEL,6021 CG,MARKTSTRAAT 2,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BUDEL, MARKTSTRAAT 2",51.2741931,5.5734689
S1P243,BUNDE,6241 CA,ST. AGNESPLEIN 11,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BUNDE, ST. AGNESPLEIN 11",50.8966418,5.7317063
S1H418,BUNSCHOTEN SPAKENBURG,3752 AL,BROERSWETERING 1,4560,OP,1M,MANUAL - Slow line,Keyholder,"Netherlands, BUNSCHOTEN SPAKENBURG, BROERSWETERING 1",52.2525394,5.3772695
S1I162,BUNNIK,3981 EB,DORPSSTRAAT 46,2050,OP,2M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BUNNIK, DORPSSTRAAT 46",52.0674749,5.2005961
S1Y211,BURGH HAAMSTEDE,4328 AL,NOORDSTRAAT 8,2050,OP,1M,MANUAL - Slow line,SVA (SIOC),"Netherlands, BURGH HAAMSTEDE, NOORDSTRAAT 8",51.6985748,3.7429105
S1J430,DEN BURG,1791 CA,PARKSTRAAT 18,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DEN BURG, PARKSTRAAT 18",53.0537147,4.7987223
S1O216,DEN BURG,1791 CA,PARKSTRAAT 18,4560,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DEN BURG, PARKSTRAAT 18",53.0537147,4.7987223
S1O214,DEN BURG,1791 CA,PARKSTRAAT 18,2050,BZK,100M,REMOTE - 100Mb+,SVA (SIOC),"Netherlands, DEN BURG, PARKSTRAAT 18",53.0537147,4.7987223
